,city,tot_act_pend,num_pgs,,city,,,,
94,New York NY,26892,1076,1076,New,York,NY,,"New York, NY"
13,Chicago IL,12454,499,499,Chicago,IL,,,"Chicago, IL"
258,Houston TX,12159,487,487,Houston,TX,,,"Houston, TX"
105,Los Angeles CA,10197,408,408,Los,Angeles,CA,,"Los Angeles, CA"
46,Las Vegas NV,7950,319,318,Las,Vegas,NV,,"Las Vegas, NV"
185,San Antonio TX,7751,311,311,San,Antonio,TX,,"San Antonio, TX"
224,Naples FL,6946,278,278,Naples,FL,,,"Naples, FL"
149,Brooklyn NY,6738,270,270,Brooklyn,NY,,,"Brooklyn, NY"
110,Jacksonville FL,6644,266,266,Jacksonville,FL,,,"Jacksonville, FL"
229,Philadelphia PA,6486,260,260,Philadelphia,PA,,,"Philadelphia, PA"
74,Phoenix AZ,6130,246,246,Phoenix,AZ,,,"Phoenix, AZ"
30,Miami FL,5702,229,229,Miami,FL,,,"Miami, FL"
161,Dallas TX,5081,204,204,Dallas,TX,,,"Dallas, TX"
298,Charlotte NC,5041,202,202,Charlotte,NC,,,"Charlotte, NC"
255,Fort Worth TX,4846,194,194,Fort,Worth,TX,,"Fort Worth, TX"
135,Austin TX,4477,180,180,Austin,TX,,,"Austin, TX"
73,Portland OR,4284,172,172,Portland,OR,,,"Portland, OR"
136,Indianapolis IN,4106,165,165,Indianapolis,IN,,,"Indianapolis, IN"
303,Atlanta GA,4032,162,162,Atlanta,GA,,,"Atlanta, GA"
82,Fort Myers FL,3975,160,159,Fort,Myers,FL,,"Fort Myers, FL"
172,Nashville TN,3915,157,157,Nashville,TN,,,"Nashville, TN"
166,Baltimore MD,3726,150,150,Baltimore,MD,,,"Baltimore, MD"
147,Denver CO,3643,146,146,Denver,CO,,,"Denver, CO"
122,San Diego CA,3614,145,145,San,Diego,CA,,"San Diego, CA"
177,El Paso TX,3567,143,143,El,Paso,TX,,"El Paso, TX"
211,Tucson AZ,3418,137,137,Tucson,AZ,,,"Tucson, AZ"
173,Cleveland OH,3395,136,136,Cleveland,OH,,,"Cleveland, OH"
305,Albuquerque NM,3118,125,125,Albuquerque,NM,,,"Albuquerque, NM"
22,Louisville KY,3021,121,121,Louisville,KY,,,"Louisville, KY"
155,Seattle WA,2926,118,118,Seattle,WA,,,"Seattle, WA"
306,Columbus OH,2907,117,117,Columbus,OH,,,"Columbus, OH"
300,Orlando FL,2896,116,116,Orlando,FL,,,"Orlando, FL"
54,Virginia Beach VA,2843,114,114,Virginia,Beach,VA,,"Virginia Beach, VA"
207,Sarasota FL,2779,112,112,Sarasota,FL,,,"Sarasota, FL"
123,Kansas City MO,2762,111,111,Kansas,City,MO,,"Kansas City, MO"
200,Scottsdale AZ,2726,110,110,Scottsdale,AZ,,,"Scottsdale, AZ"
121,Knoxville TN,2681,108,108,Knoxville,TN,,,"Knoxville, TN"
268,Fort Lauderdale FL,2612,105,105,Fort,Lauderdale,FL,,"Fort Lauderdale, FL"
25,Saint Louis MO,2573,103,103,Saint,Louis,MO,,"Saint Louis, MO"
158,Detroit MI,2518,101,101,Detroit,MI,,,"Detroit, MI"
175,Oklahoma City OK,2462,99,99,Oklahoma,City,OK,,"Oklahoma City, OK"
217,Raleigh NC,2468,99,99,Raleigh,NC,,,"Raleigh, NC"
210,New Orleans LA,2426,98,98,New,Orleans,LA,,"New Orleans, LA"
118,Tulsa OK,2384,96,96,Tulsa,OK,,,"Tulsa, OK"
194,Sacramento CA,2362,95,95,Sacramento,CA,,,"Sacramento, CA"
12,Washington DC,2298,92,92,Washington,DC,,,"Washington, DC"
71,McKinney TX,2247,90,90,McKinney,TX,,,"McKinney, TX"
189,Aurora CO,2235,90,90,Aurora,CO,,,"Aurora, CO"
215,Charleston SC,2238,90,90,Charleston,SC,,,"Charleston, SC"
104,Staten Island NY,2205,89,89,Staten,Island,NY,,"Staten Island, NY"
271,Edmond OK,2165,87,87,Edmond,OK,,,"Edmond, OK"
188,Tampa FL,2127,86,86,Tampa,FL,,,"Tampa, FL"
220,Colorado Springs CO,2116,85,85,Colorado,Springs,CO,,"Colorado Springs, CO"
3,Chesapeake VA,2031,82,82,Chesapeake,VA,,,"Chesapeake, VA"
60,Henderson NV,2017,81,81,Henderson,NV,,,"Henderson, NV"
72,Baton Rouge LA,1991,80,80,Baton,Rouge,LA,,"Baton Rouge, LA"
101,Wilmington NC,1947,78,78,Wilmington,NC,,,"Wilmington, NC"
187,Milwaukee WI,1922,77,77,Milwaukee,WI,,,"Milwaukee, WI"
127,Boston MA,1896,76,76,Boston,MA,,,"Boston, MA"
208,Mesa AZ,1895,76,76,Mesa,AZ,,,"Mesa, AZ"
235,Marietta GA,1886,76,76,Marietta,GA,,,"Marietta, GA"
23,Fayetteville NC,1853,75,75,Fayetteville,NC,,,"Fayetteville, NC"
293,Corpus Christi TX,1857,75,75,Corpus,Christi,TX,,"Corpus Christi, TX"
167,Bronx NY,1838,74,74,Bronx,NY,,,"Bronx, NY"
49,Omaha NE,1807,73,73,Omaha,NE,,,"Omaha, NE"
65,Reno NV,1813,73,73,Reno,NV,,,"Reno, NV"
273,Lexington KY,1773,71,71,Lexington,KY,,,"Lexington, KY"
27,Hollywood FL,1742,70,70,Hollywood,FL,,,"Hollywood, FL"
181,Wichita KS,1744,70,70,Wichita,KS,,,"Wichita, KS"
182,Cincinnati OH,1721,69,69,Cincinnati,OH,,,"Cincinnati, OH"
96,Saint Petersburg FL,1645,66,66,Saint,Petersburg,FL,,"Saint Petersburg, FL"
138,Bradenton FL,1644,66,66,Bradenton,FL,,,"Bradenton, FL"
57,Memphis TN,1622,65,65,Memphis,TN,,,"Memphis, TN"
51,Tallahassee FL,1554,63,63,Tallahassee,FL,,,"Tallahassee, FL"
88,Toledo OH,1537,62,62,Toledo,OH,,,"Toledo, OH"
241,Pensacola FL,1511,61,61,Pensacola,FL,,,"Pensacola, FL"
242,Columbia SC,1517,61,61,Columbia,SC,,,"Columbia, SC"
272,Myrtle Beach SC,1500,61,60,Myrtle,Beach,SC,,"Myrtle Beach, SC"
70,Minneapolis MN,1482,60,60,Minneapolis,MN,,,"Minneapolis, MN"
198,San Francisco CA,1483,60,60,San,Francisco,CA,,"San Francisco, CA"
274,Fresno CA,1462,59,59,Fresno,CA,,,"Fresno, CA"
302,Greensboro NC,1471,59,59,Greensboro,NC,,,"Greensboro, NC"
137,Winston-Salem NC,1433,58,58,Winston-Salem,NC,,,"Winston-Salem, NC"
9,Durham NC,1420,57,57,Durham,NC,,,"Durham, NC"
14,Lafayette LA,1401,57,57,Lafayette,LA,,,"Lafayette, LA"
36,Montgomery AL,1422,57,57,Montgomery,AL,,,"Montgomery, AL"
77,Lubbock TX,1418,57,57,Lubbock,TX,,,"Lubbock, TX"
86,West Palm Beach FL,1402,57,57,West,Palm,Beach,FL,"West Palm Beach, FL"
209,San Jose CA,1409,57,57,San,Jose,CA,,"San Jose, CA"
55,Spring TX,1399,56,56,Spring,TX,,,"Spring, TX"
116,Little Rock AR,1383,56,56,Little,Rock,AR,,"Little Rock, AR"
190,Clarksville TN,1386,56,56,Clarksville,TN,,,"Clarksville, TN"
191,Savannah GA,1397,56,56,Savannah,GA,,,"Savannah, GA"
125,Norfolk VA,1371,55,55,Norfolk,VA,,,"Norfolk, VA"
40,Lawrenceville GA,1333,54,54,Lawrenceville,GA,,,"Lawrenceville, GA"
163,Riverside CA,1329,54,54,Riverside,CA,,,"Riverside, CA"
140,Mobile AL,1315,53,53,Mobile,AL,,,"Mobile, AL"
212,Akron OH,1308,53,53,Akron,OH,,,"Akron, OH"
99,Pittsburgh PA,1285,52,52,Pittsburgh,PA,,,"Pittsburgh, PA"
179,Springfield MO,1281,52,52,Springfield,MO,,,"Springfield, MO"
66,Irvine CA,1250,51,50,Irvine,CA,,,"Irvine, CA"
56,Naperville IL,1227,50,50,Naperville,IL,,,"Naperville, IL"
153,Amarillo TX,1233,50,50,Amarillo,TX,,,"Amarillo, TX"
245,Huntsville AL,1239,50,50,Huntsville,AL,,,"Huntsville, AL"
152,Arlington TX,1213,49,49,Arlington,TX,,,"Arlington, TX"
290,Shreveport LA,1195,48,48,Shreveport,LA,,,"Shreveport, LA"
284,Katy TX,1162,47,47,Katy,TX,,,"Katy, TX"
291,Pompano Beach FL,1164,47,47,Pompano,Beach,FL,,"Pompano Beach, FL"
0,Spokane WA,1128,46,46,Spokane,WA,,,"Spokane, WA"
34,Lincoln NE,1131,46,46,Lincoln,NE,,,"Lincoln, NE"
134,Long Beach CA,1141,46,46,Long,Beach,CA,,"Long Beach, CA"
192,Santa Fe NM,1130,46,46,Santa,Fe,NM,,"Santa Fe, NM"
231,Peoria IL,1149,46,46,Peoria,IL,,,"Peoria, IL"
58,Sugar Land TX,1106,45,45,Sugar,Land,TX,,"Sugar Land, TX"
19,Chattanooga TN,1098,44,44,Chattanooga,TN,,,"Chattanooga, TN"
253,Murfreesboro TN,1084,44,44,Murfreesboro,TN,,,"Murfreesboro, TN"
275,Buffalo NY,1092,44,44,Buffalo,NY,,,"Buffalo, NY"
15,Sioux Falls SD,1068,43,43,Sioux,Falls,SD,,"Sioux Falls, SD"
24,Saint Paul MN,1053,43,43,Saint,Paul,MN,,"Saint Paul, MN"
26,Plano TX,1057,43,43,Plano,TX,,,"Plano, TX"
199,Des Moines IA,1060,43,43,Des,Moines,IA,,"Des Moines, IA"
267,Madison WI,1062,43,43,Madison,WI,,,"Madison, WI"
81,Billings MT,1027,42,42,Billings,MT,,,"Billings, MT"
184,Kissimmee FL,1045,42,42,Kissimmee,FL,,,"Kissimmee, FL"
62,Chandler AZ,1014,41,41,Chandler,AZ,,,"Chandler, AZ"
230,Bakersfield CA,997,40,40,Bakersfield,CA,,,"Bakersfield, CA"
238,Toms River NJ,985,40,40,Toms,River,NJ,,"Toms River, NJ"
295,Dayton OH,976,40,40,Dayton,OH,,,"Dayton, OH"
237,Fort Wayne IN,963,39,39,Fort,Wayne,IN,,"Fort Wayne, IN"
89,Asheville NC,943,38,38,Asheville,NC,,,"Asheville, NC"
151,Frederick MD,930,38,38,Frederick,MD,,,"Frederick, MD"
246,Tacoma WA,946,38,38,Tacoma,WA,,,"Tacoma, WA"
11,Stockton CA,924,37,37,Stockton,CA,,,"Stockton, CA"
98,Lansing MI,901,37,37,Lansing,MI,,,"Lansing, MI"
41,Birmingham AL,894,36,36,Birmingham,AL,,,"Birmingham, AL"
146,Modesto CA,877,36,36,Modesto,CA,,,"Modesto, CA"
148,Boise ID,889,36,36,Boise,ID,,,"Boise, ID"
31,Rockford IL,870,35,35,Rockford,IL,,,"Rockford, IL"
64,Woodbridge VA,850,35,34,Woodbridge,VA,,,"Woodbridge, VA"
252,Cary NC,858,35,35,Cary,NC,,,"Cary, NC"
288,Eugene OR,854,35,35,Eugene,OR,,,"Eugene, OR"
95,Arlington VA,846,34,34,Arlington,VA,,,"Arlington, VA"
102,Oakland CA,847,34,34,Oakland,CA,,,"Oakland, CA"
103,Columbus GA,849,34,34,Columbus,GA,,,"Columbus, GA"
162,Bowling Green KY,834,34,34,Bowling,Green,KY,,"Bowling Green, KY"
