,full_address,home_link
0,"11436 Foster Rd, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11436-Foster-Rd-90650/home/7778350
1,"11920 Cheshire St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11920-Cheshire-St-90650/home/7791194
2,"11916 Hermosura St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11916-Hermosura-St-90650/home/7460451
3,"10652 Ohm Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/10652-Ohm-Ave-90650/home/7757226
4,"11831 Lowemont St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11831-Lowemont-St-90650/home/7791017
5,"11818 Barnwall St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11818-Barnwall-St-90650/home/7790965
6,"13054 Liggett St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/13054-Liggett-St-90650/home/7784801
7,"14508 Painter Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14508-Painter-Ave-90650/home/7784783
8,"14423 Wheatstone Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14423-Wheatstone-Ave-90650/home/7785271
9,"14344 Corby Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14344-Corby-Ave-90650/home/7787196
10,"15529 Cameo Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/15529-Cameo-Ave-90650/home/7792103
11,"13630 Arlee Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/13630-Arlee-Ave-90650/home/7779232
12,"10529 Downey Norwalk Rd, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/10529-Downey-Norwalk-Rd-90650/home/7757216
13,"14418 Greenstone Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14418-Greenstone-Ave-90650/home/7774130
14,"14309 Falco Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14309-Falco-Ave-90650/home/7785360
15,"14532 Gracebee Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14532-Gracebee-Ave-90650/home/7784731
16,"14108 Madris Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14108-Madris-Ave-90650/home/7779930
17,"11003 Crestbrook St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11003-Crestbrook-St-90650/home/7778575
18,"13220 Greenstone Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/13220-Greenstone-Ave-90650/home/7773961
19,"14412 Dumont Ave, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/14412-Dumont-Ave-90650/home/7787616
