,name,all_homes,all_pages
94304,Palo-Alto-CA-94304,5,1
95123,San-Jose-CA-95123,22,1
95113,San-Jose-CA-95113,22,1
94104,San-Francisco-CA-94104,33,2
94111,San-Francisco-CA-94111,64,3
94108,San-Francisco-CA-94108,65,3
95134,San-Jose-CA-95134,72,3
94612,Oakland-CA-94612,94,4
94041,Mountain-View-CA-94041,95,4
95139,San-Jose-CA-95139,105,5
94089,Sunnyvale-CA-94089,118,5
95130,San-Jose-CA-95130,123,5
94133,San-Francisco-CA-94133,148,6
94132,San-Francisco-CA-94132,152,7
94063,Redwood-City-CA-94063,156,7
94102,San-Francisco-CA-94102,159,7
94552,Castro-Valley-CA-94552,160,7
95119,San-Jose-CA-95119,160,7
94065,Redwood-City-CA-94065,180,8
94579,San-Leandro-CA-94579,194,8
94301,Palo-Alto-CA-94301,194,8
95117,San-Jose-CA-95117,196,8
94606,Oakland-CA-94606,200,8
95054,Santa-Clara-CA-95054,216,9
94609,Oakland-CA-94609,219,9
95030,Los-Gatos-CA-95030,223,9
94127,San-Francisco-CA-94127,223,9
94134,San-Francisco-CA-94134,224,9
94306,Palo-Alto-CA-94306,226,10
94123,San-Francisco-CA-94123,232,10
95110,San-Jose-CA-95110,241,10
94085,Sunnyvale-CA-94085,257,11
94618,Oakland-CA-94618,257,11
95138,San-Jose-CA-95138,261,11
94121,San-Francisco-CA-94121,262,11
94118,San-Francisco-CA-94118,279,12
94116,San-Francisco-CA-94116,280,12
94542,Hayward-CA-94542,290,12
95131,San-Jose-CA-95131,291,12
94124,San-Francisco-CA-94124,291,12
95129,San-Jose-CA-95129,295,12
94117,San-Francisco-CA-94117,296,12
95133,San-Jose-CA-95133,297,12
94402,San-Mateo-CA-94402,302,13
94115,San-Francisco-CA-94115,310,13
94580,San-Lorenzo-CA-94580,312,13
95121,San-Jose-CA-95121,314,13
94122,San-Francisco-CA-94122,316,13
94040,Mountain-View-CA-94040,316,13
95135,San-Jose-CA-95135,319,13
94621,Oakland-CA-94621,322,13
95116,San-Jose-CA-95116,323,13
95126,San-Jose-CA-95126,334,14
94610,Oakland-CA-94610,344,14
94619,Oakland-CA-94619,351,15
94602,Oakland-CA-94602,357,15
94103,San-Francisco-CA-94103,358,15
94401,San-Mateo-CA-94401,363,15
94601,Oakland-CA-94601,365,15
94086,Sunnyvale-CA-94086,367,15
94303,Palo-Alto-CA-94303,372,15
95122,San-Jose-CA-95122,373,15
95148,San-Jose-CA-95148,375,15
94578,San-Leandro-CA-94578,376,16
95132,San-Jose-CA-95132,383,16
94131,San-Francisco-CA-94131,386,16
95128,San-Jose-CA-95128,386,16
95050,Santa-Clara-CA-95050,388,16
94603,Oakland-CA-94603,389,16
94607,Oakland-CA-94607,391,16
94105,San-Francisco-CA-94105,391,16
95112,San-Jose-CA-95112,393,16
94545,Hayward-CA-94545,400,16
95070,Saratoga-CA-95070,400,16
94568,Dublin-CA-94568,403,17
94062,Redwood-City-CA-94062,409,17
95014,Cupertino-CA-95014,410,17
94061,Redwood-City-CA-94061,415,17
94114,San-Francisco-CA-94114,419,17
94555,Fremont-CA-94555,428,18
95118,San-Jose-CA-95118,431,18
95111,San-Jose-CA-95111,441,18
94043,Mountain-View-CA-94043,448,18
94158,San-Francisco-CA-94158,460,19
95032,Los-Gatos-CA-95032,461,19
94087,Sunnyvale-CA-94087,461,19
94404,San-Mateo-CA-94404,471,19
95120,San-Jose-CA-95120,474,19
94109,San-Francisco-CA-94109,482,20
94112,San-Francisco-CA-94112,488,20
95136,San-Jose-CA-95136,489,20
94403,San-Mateo-CA-94403,489,20
94588,Pleasanton-CA-94588,509,21
94080,South-San-Francisco-CA-94080,511,21
94577,San-Leandro-CA-94577,513,21
94025,Menlo-Park-CA-94025,549,22
94110,San-Francisco-CA-94110,550,22
95051,Santa-Clara-CA-95051,559,23
94546,Castro-Valley-CA-94546,563,23
94107,San-Francisco-CA-94107,580,24
95127,San-Jose-CA-95127,610,25
94539,Fremont-CA-94539,629,26
94611,Oakland-CA-94611,647,26
94538,Fremont-CA-94538,657,27
95124,San-Jose-CA-95124,660,27
94566,Pleasanton-CA-94566,665,27
94544,Hayward-CA-94544,666,27
94587,Union-City-CA-94587,687,28
94605,Oakland-CA-94605,733,30
94560,Newark-CA-94560,801,33
94541,Hayward-CA-94541,803,33
95125,San-Jose-CA-95125,806,33
95035,Milpitas-CA-95035,823,33
94536,Fremont-CA-94536,872,35
94551,Livermore-CA-94551,891,36
94550,Livermore-CA-94550,925,37
