,name,ap,sold,ap_pages,sold_pages,tot,tot_pages
94025,Menlo-Park-CA-94025,62,265,3,11,327,14
94040,Mountain-View-CA-94040,37,121,2,5,158,7
94041,Mountain-View-CA-94041,7,45,1,2,52,3
94043,Mountain-View-CA-94043,44,189,2,8,233,10
94061,Redwood-City-CA-94061,32,195,2,8,227,10
94062,Redwood-City-CA-94062,68,180,3,8,248,10
94063,Redwood-City-CA-94063,21,62,1,3,83,4
94065,Redwood-City-CA-94065,14,83,1,4,97,4
94080,South-San-Francisco-CA-94080,45,235,2,10,280,12
94085,Sunnyvale-CA-94085,39,104,2,5,143,6
94086,Sunnyvale-CA-94086,29,209,2,9,238,10
94087,Sunnyvale-CA-94087,32,236,2,10,268,11
94089,Sunnyvale-CA-94089,15,57,1,3,72,3
94102,San-Francisco-CA-94102,16,55,1,3,71,3
94103,San-Francisco-CA-94103,75,112,3,5,187,8
94104,San-Francisco-CA-94104,13,8,1,1,21,1
94105,San-Francisco-CA-94105,58,147,3,6,205,9
94107,San-Francisco-CA-94107,66,222,3,9,288,12
94108,San-Francisco-CA-94108,14,19,1,1,33,2
94109,San-Francisco-CA-94109,92,155,4,7,247,10
94110,San-Francisco-CA-94110,72,227,3,10,299,12
94111,San-Francisco-CA-94111,9,21,1,1,30,2
94112,San-Francisco-CA-94112,45,197,2,8,242,10
94114,San-Francisco-CA-94114,34,179,2,8,213,9
94115,San-Francisco-CA-94115,40,128,2,6,168,7
94116,San-Francisco-CA-94116,27,116,2,5,143,6
94117,San-Francisco-CA-94117,34,128,2,6,162,7
94118,San-Francisco-CA-94118,37,121,2,5,158,7
94121,San-Francisco-CA-94121,40,96,2,4,136,6
94122,San-Francisco-CA-94122,40,141,2,6,181,8
94123,San-Francisco-CA-94123,26,94,2,4,120,5
94124,San-Francisco-CA-94124,44,87,2,4,131,6
94127,San-Francisco-CA-94127,30,94,2,4,124,5
94131,San-Francisco-CA-94131,61,162,3,7,223,9
94132,San-Francisco-CA-94132,23,53,1,3,76,4
94133,San-Francisco-CA-94133,36,50,2,2,86,4
94134,San-Francisco-CA-94134,19,91,1,4,110,5
94158,San-Francisco-CA-94158,16,226,1,10,242,10
94301,Palo-Alto-CA-94301,30,85,2,4,115,5
94303,Palo-Alto-CA-94303,35,167,2,7,202,9
94304,Palo-Alto-CA-94304,2,2,1,1,4,1
94306,Palo-Alto-CA-94306,16,115,1,5,131,6
94401,San-Mateo-CA-94401,38,162,2,7,200,8
94402,San-Mateo-CA-94402,30,151,2,7,181,8
94403,San-Mateo-CA-94403,40,223,2,9,263,11
94404,San-Mateo-CA-94404,62,218,3,9,280,12
94536,Fremont-CA-94536,83,434,4,18,517,21
94538,Fremont-CA-94538,88,264,4,11,352,15
94539,Fremont-CA-94539,121,294,5,12,415,17
94541,Hayward-CA-94541,75,354,3,15,429,18
94542,Hayward-CA-94542,39,110,2,5,149,6
94544,Hayward-CA-94544,66,290,3,12,356,15
94545,Hayward-CA-94545,35,160,2,7,195,8
94546,Castro-Valley-CA-94546,54,265,3,11,319,13
94550,Livermore-CA-94550,99,438,4,18,537,22
94551,Livermore-CA-94551,99,369,4,15,468,19
94552,Castro-Valley-CA-94552,15,79,1,4,94,4
94555,Fremont-CA-94555,25,194,1,8,219,9
94560,Newark-CA-94560,97,292,4,12,389,16
94566,Pleasanton-CA-94566,70,342,3,14,412,17
94568,Dublin-CA-94568,224,578,9,24,802,33
94577,San-Leandro-CA-94577,35,244,2,10,279,12
94578,San-Leandro-CA-94578,32,163,2,7,195,8
94579,San-Leandro-CA-94579,12,106,1,5,118,5
94580,San-Lorenzo-CA-94580,28,138,2,6,166,7
94587,Union-City-CA-94587,80,320,4,13,400,16
94588,Pleasanton-CA-94588,36,244,2,10,280,12
94601,Oakland-CA-94601,43,163,2,7,206,9
94602,Oakland-CA-94602,35,168,2,7,203,9
94603,Oakland-CA-94603,30,152,2,7,182,8
94605,Oakland-CA-94605,94,326,4,14,420,17
94606,Oakland-CA-94606,26,84,2,4,110,5
94607,Oakland-CA-94607,50,169,2,7,219,9
94609,Oakland-CA-94609,17,103,1,5,120,5
94610,Oakland-CA-94610,25,178,1,8,203,9
94611,Oakland-CA-94611,71,321,3,13,392,16
94612,Oakland-CA-94612,5,47,1,2,52,3
94618,Oakland-CA-94618,31,131,2,6,162,7
94619,Oakland-CA-94619,32,156,2,7,188,8
94621,Oakland-CA-94621,35,124,2,5,159,7
95014,Cupertino-CA-95014,43,202,2,9,245,10
95030,Los-Gatos-CA-95030,39,97,2,4,136,6
95032,Los-Gatos-CA-95032,56,190,3,8,246,10
95035,Milpitas-CA-95035,160,384,7,16,544,22
95050,Santa-Clara-CA-95050,56,178,3,8,234,10
95051,Santa-Clara-CA-95051,33,277,2,12,310,13
95054,Santa-Clara-CA-95054,18,108,1,5,126,6
95070,Saratoga-CA-95070,62,173,3,7,235,10
95110,San-Jose-CA-95110,32,103,2,5,135,6
95111,San-Jose-CA-95111,58,215,3,9,273,11
95112,San-Jose-CA-95112,42,167,2,7,209,9
95113,San-Jose-CA-95113,2,14,1,1,16,1
95116,San-Jose-CA-95116,37,149,2,6,186,8
95117,San-Jose-CA-95117,13,115,1,5,128,6
95118,San-Jose-CA-95118,34,211,2,9,245,10
95119,San-Jose-CA-95119,24,87,1,4,111,5
95120,San-Jose-CA-95120,43,239,2,10,282,12
95121,San-Jose-CA-95121,42,134,2,6,176,8
95122,San-Jose-CA-95122,48,164,2,7,212,9
95123,San-Jose-CA-95123,118,496,5,20,614,25
95124,San-Jose-CA-95124,49,337,2,14,386,16
95125,San-Jose-CA-95125,77,379,4,16,456,19
95126,San-Jose-CA-95126,24,167,1,7,191,8
95127,San-Jose-CA-95127,60,288,3,12,348,14
95128,San-Jose-CA-95128,32,182,2,8,214,9
95129,San-Jose-CA-95129,23,149,1,6,172,7
95130,San-Jose-CA-95130,10,67,1,3,77,4
95131,San-Jose-CA-95131,33,149,2,6,182,8
95132,San-Jose-CA-95132,37,174,2,7,211,9
95133,San-Jose-CA-95133,29,157,2,7,186,8
95134,San-Jose-CA-95134,4,40,1,2,44,2
95135,San-Jose-CA-95135,34,157,2,7,191,8
95136,San-Jose-CA-95136,56,217,3,9,273,11
95138,San-Jose-CA-95138,27,117,2,5,144,6
95139,San-Jose-CA-95139,12,54,1,3,66,3
95148,San-Jose-CA-95148,45,186,2,8,231,10
