,full_address,home_link
0,"657 Roble Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/657-Roble-Ave-94025/home/1797031
1,"580 5TH Ave, REDWOOD CITY, CA 94063",https://www.redfin.com/CA/Redwood-City/580-Fifth-Ave-94063/home/1892451
2,"936 Florence Ln, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/936-Florence-Ln-94025/unit-2-934-936/home/1280413
3,"65 Gloria Cir, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/65-Gloria-Cir-94025/home/1232333
4,"44 La Loma Dr, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/44-La-Loma-Dr-94025/home/896904
5,"20 Willow Rd, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/20-Willow-Rd-94025/home/994858
6,"2140 Santa Cruz Ave Unit C305, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/2140-Santa-Cruz-Ave-94025/unit-C305/home/1853154
7,"1630 Stanford Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/1630-Stanford-Ave-94025/home/2052932
8,"1340 Hoover St, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/1340-Hoover-St-94025/home/886700
9,"1943 Camino A Los Cerros, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/1943-Cno-A-Los-Cerros-94025/home/884586
10,"30 Mansion Ct #811, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/30-Mansion-Ct-94025/unit-811/home/2033138
11,"2094 Camino A Los Cerros, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/2094-Cno-A-Los-Cerros-94025/home/2056556
12,"1895 Oakdell, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/1895-Oakdell-Dr-94025/home/886773
13,"530 Laurel Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/530-Laurel-Ave-94025/home/1686176
14,"3617 Oak Dr, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/3617-Oak-Dr-94025/home/1497752
15,"2381 Sharon Rd, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/2381-Sharon-Rd-94025/home/2021119
16,"847 Woodland Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/847-Woodland-Ave-94025/home/1710017
17,"35 La Loma Dr, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/35-La-Loma-Dr-94025/home/1710666
18,"224 Encinal Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/224-Encinal-Ave-94025/home/852470
19,"35 Oak Hollow Way, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/35-Oak-Hollow-Way-94025/home/1174681
0,"1044 Sonoma Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/1044-Sonoma-Ave-94025/home/1551943
1,"181 Santa Margarita Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/181-Santa-Margarita-Ave-94025/home/2047728
2,"805 Evergreen St, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/805-Evergreen-St-94025/home/888361
3,"785 Berkeley Ave, MENLO PARK, CA 94025",https://www.redfin.com/CA/Menlo-Park/785-Berkeley-Ave-94025/home/1454518
