,ap,sold
94025,62,478
94040,32,269
94041,6,86
94043,44,398
94061,32,372
94062,67,342
94063,21,131
94065,14,158
94080,45,440
94085,40,209
94086,30,325
94087,33,413
94089,15,99
94102,16,135
94103,73,271
94104,13,18
94105,58,312
94107,65,488
94108,15,44
94109,92,362
94110,72,448
94111,8,51
94112,45,420
94114,34,367
94115,38,259
94116,27,240
94117,33,250
94118,36,227
94121,40,192
94122,40,262
94123,26,194
94124,45,226
94127,30,182
94131,61,306
94132,22,118
94133,36,103
94134,19,185
94158,15,438
94301,29,163
94303,34,328
94304,2,3
94306,16,201
94401,38,313
94402,30,261
94403,40,430
94404,58,402
94536,85,750
94538,89,551
94539,121,476
94541,76,695
94542,38,234
94544,67,560
94545,35,351
94546,55,474
94550,99,774
94551,100,756
94552,14,140
94555,25,379
94560,99,695
94566,69,557
94568,225,1
94577,34,447
94578,33,318
94579,12,176
94580,29,264
94587,79,575
94588,34,445
94601,43,304
94602,35,291
94603,30,334
94605,95,583
94606,25,159
94607,50,322
94609,17,194
94610,25,312
94611,69,548
94612,5,84
94618,30,212
94619,32,309
94621,37,265
95014,44,349
95030,39,180
95032,58,389
95035,161,652
95050,54,321
95051,34,498
95054,17,199
95070,64,321
95110,33,201
95111,59,365
95112,43,332
95113,2,18
95116,38,279
95117,13,176
95118,35,374
95119,25,137
95120,49,404
95121,41,260
95122,48,318
95123,120,859
95124,48,590
95125,78,699
95126,24,295
95127,59,536
95128,33,338
95129,24,252
95130,13,109
95131,32,247
95132,39,333
95133,29,265
95134,4,65
95135,33,271
95136,57,413
95138,28,220
95139,12,89
95148,45,320
