,full_address,home_link
0,"400 Ortega Ave #323, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-323/home/12171864
1,"1408 Ernestine Ln, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/1408-Ernestine-Ln-94040/home/1240232
2,"400-B Ortega Ave #302, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-302/home/12171858
3,"989 Solana Ct, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/989-Solana-Ct-94040/home/1691453
4,"49 Showers Dr Unit A331, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-A331/home/2121029
5,"71 Glenmead Ct, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/71-GLENMEAD-Ct-94040/home/12177489
6,"2481 Porterfield Ct, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/2481-Porterfield-Ct-94040/home/1198386
7,"992 Boranda Ave, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/992-Boranda-Ave-94040/home/645153
8,"1303 Cuernavaca Circulo, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/1303-Cuernavaca-Circulo-94040/home/709086
9,"2524 Fairbrook Dr, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/2524-Fairbrook-Dr-94040/home/1827763
10,"1945 Mount Vernon Ct #4, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/1945-Mt-Vernon-Ct-94040/unit-4/home/616636
11,"49 Showers Dr Unit E151, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-E151/home/12171800
12,"400 Ortega Ave #116, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-116/home/2121043
13,"388 Sleeper Ave, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/388-Sleeper-Ave-94040/home/1246973
14,"382 Winwood Ct, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/382-Winwood-Ct-94040/unit-904/home/2120825
15,"183 Del Medio Ave #302, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/183-Del-Medio-Ave-94040/unit-302/home/2121266
16,"1128 Phyllis Ave, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/1128-Phyllis-Ave-94040/home/1023597
17,"1506 Nilda Ave, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/1506-Nilda-Ave-94040/home/1575966
18,"49 Showers Dr Unit N168, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-N168/home/12171752
19,"148 College Ave, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/148-College-Ave-94040/home/12171539
0,"49 Showers Dr Unit E146, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-E146/home/12171801
1,"1920 Limetree Ln, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/1920-Limetree-Ln-94040/home/1748373
2,"49 Showers Dr Unit H447, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-H447/home/12171789
3,"838 Tulane Dr, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/838-Tulane-Dr-94040/home/1611849
4,"49 Showers Dr Unit J221, MOUNTAIN VIEW, CA 94040",https://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-J221/home/12171775
5,"938 Clark Ave Apt 24, Mountain View, CA 94040",https://www.redfin.com/CA/Mountain-View/938-Clark-Ave-94040/unit-24/home/636242
6,"938 Clark Ave Apt 17, Mountain View, CA 94040",https://www.redfin.com/CA/Mountain-View/938-Clark-Ave-94040/unit-17/home/637760
7,"168 Holland Ct, Mountain View, CA 94040",https://www.redfin.com/CA/Mountain-View/168-Holland-Ct-94040/home/648088
8,"240 Sleeper Ave, Mountain View, CA 94040",https://www.redfin.com/CA/Mountain-View/240-Sleeper-Ave-94040/home/649004
9,"692 Bryant Ave, Mountain View, CA 94040",https://www.redfin.com/CA/Mountain-View/692-Bryant-Ave-94040/home/689411
10,"1917 Limetree Ln, Mountain View, CA 94040",https://www.redfin.com/CA/Mountain-View/1917-Limetree-Ln-94040/home/723309
11,"1606 Gretel Ln, Mountain View, CA 94040",https://www.redfin.com/CA/Mountain-View/1606-Gretel-Ln-94040/home/856102
