,full_address,home_link
0,"6557 S Troy St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6557-S-Troy-St-60629/home/13988666
1,"3421 W 73rd St, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3421-W-73rd-St-60629/home/13983528
2,"3832 W 64th Pl, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3832-W-64th-Pl-60629/home/13991475
3,"3939 W 60th Pl, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3939-W-60th-Pl-60629/home/12555473
4,"6148 S Keating Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6148-S-Keating-Ave-60629/home/14005857
5,"6215 S Kolmar Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6215-S-Kolmar-Ave-60629/home/14005466
6,"6742 S Kenneth Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6742-S-Kenneth-Ave-60629/home/13993326
7,"6100 S Kedvale Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/6100-S-Kedvale-Ave-60629/home/14004484
8,"6535 S KENNETH Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6535-S-Kenneth-Ave-60629/home/13993836
9,"6006 S Knox Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6006-S-Knox-Ave-60629/home/14005873
10,"5923 S Karlov Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/5923-S-Karlov-Ave-60629/home/14004837
11,"Sign In for Address, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/Undisclosed-address-60629/home/14004580
12,"6336 S KILPATRICK Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6336-S-Kilpatrick-Ave-60629/home/13993942
13,"Sign In for Address, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/Undisclosed-address-60629/home/13989860
14,"6629 S KOSTNER Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6629-S-Kostner-Ave-60629/home/13993288
15,"6419 S Karlov Ave, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/6419-S-Karlov-Ave-60629/home/13993435
16,"3934 W 58th Pl, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/3934-W-58th-Pl-60629/home/14011487
17,"6737 S Kenneth Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6737-S-Kenneth-Ave-60629/home/13992480
18,"3938 W 66th Pl, Chicago, IL 60629",https://www.redfin.com/IL/Chicago/3938-W-66th-Pl-60629/home/13991345
19,"6350 S KNOX Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6350-S-Knox-Ave-60629/home/13994317
20,"6527 S Knox Ave, CHICAGO, IL 60629",https://www.redfin.com/IL/Chicago/6527-S-Knox-Ave-60629/home/13994271
0,"11457 1/2 Excelsior Dr, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11437-1-2-Excelsior-Dr-90650/home/7787421
1,"12814 Sycamore Village Dr, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12814-Sycamore-Village-Dr-90650/unit-40/home/7774836
2,"12259 Foster Rd Unit FOSTER, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12259-Foster-Rd-90650/unit-FOSTER/home/146037792
3,"12259 Foster Rd #30, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12259-Foster-Rd-90650/unit-30/home/7779901
4,"12309 Cheshire St Unit C, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12309-Cheshire-St-90650/unit-C/home/8112268
5,"12415 Imperial Hwy Unit 21, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12415-Imperial-Hwy-90650/unit-21/home/7760014
6,"11864 Los Alisos Cir, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11864-Los-Alisos-Cir-90650/home/7754315
7,"11233 Barnwall St Unit D, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11233-Barnwall-St-90650/unit-D/home/7789586
8,"12075 Foster Rd #4, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12075-Foster-Rd-90650/unit-4/home/7779835
9,"12933 Lariat Ln, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12933-Lariat-Ln-90650/home/7773656
10,"12918 Indian Ln, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12918-Indian-Ln-90650/unit-72/home/7773618
11,"12227 1/2 Cheshire St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12227-1-2-Cheshire-St-90650/unit-2/home/7792189
12,"12816 Stagecoach Ln, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12816-Stagecoach-Ln-90650/unit-188/home/7773734
13,"12263 Foster Rd, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12263-Foster-Rd-90650/unit-32/home/7779903
14,"11119 Lyndora St, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/11119-Lyndora-St-90650/unit-20/home/7777065
15,"12982 Sycamore Village Dr, Norwalk, CA 90650",https://www.redfin.com/CA/Norwalk/12982-Sycamore-Village-Dr-90650/unit-23/home/7774886
