zip,city,county,st,name,Sold,A/P,tot,page
94304,Palo-Alto,Santa-Clara,CA,Palo-Alto-CA-94304,2,2,4,1
95113,San-Jose,Santa-Clara,CA,San-Jose-CA-95113,14,2,16,1
94104,San-Francisco,San-Francisco,CA,San-Francisco-CA-94104,8,11,19,1
94111,San-Francisco,San-Francisco,CA,San-Francisco-CA-94111,21,10,31,2
94108,San-Francisco,San-Francisco,CA,San-Francisco-CA-94108,19,15,34,2
95134,San-Jose,Santa-Clara,CA,San-Jose-CA-95134,42,5,47,2
94041,Mountain-View,Santa-Clara,CA,Mountain-View-CA-94041,45,9,54,3
94612,Oakland,Alameda,CA,Oakland-CA-94612,48,7,55,3
95139,San-Jose,Santa-Clara,CA,San-Jose-CA-95139,53,15,68,3
94102,San-Francisco,San-Francisco,CA,San-Francisco-CA-94102,57,15,72,3
94089,Sunnyvale,Santa-Clara,CA,Sunnyvale-CA-94089,57,16,73,3
95130,San-Jose,Santa-Clara,CA,San-Jose-CA-95130,68,11,79,4
94132,San-Francisco,San-Francisco,CA,San-Francisco-CA-94132,54,25,79,4
94063,Redwood-City,San-Mateo,CA,Redwood-City-CA-94063,62,18,80,4
94133,San-Francisco,San-Francisco,CA,San-Francisco-CA-94133,50,35,85,4
94552,Castro-Valley,Alameda,CA,Castro-Valley-CA-94552,78,17,95,4
94065,Redwood-City,San-Mateo,CA,Redwood-City-CA-94065,84,14,98,4
95119,San-Jose,Santa-Clara,CA,San-Jose-CA-95119,86,22,108,5
94606,Oakland,Alameda,CA,Oakland-CA-94606,82,30,112,5
94134,San-Francisco,San-Francisco,CA,San-Francisco-CA-94134,91,22,113,5
94609,Oakland,Alameda,CA,Oakland-CA-94609,103,13,116,5
94301,Palo-Alto,Santa-Clara,CA,Palo-Alto-CA-94301,85,31,116,5
94579,San-Leandro,Alameda,CA,San-Leandro-CA-94579,106,13,119,5
94123,San-Francisco,San-Francisco,CA,San-Francisco-CA-94123,94,27,121,5
95054,Santa-Clara,Santa-Clara,CA,Santa-Clara-CA-95054,109,16,125,5
94127,San-Francisco,San-Francisco,CA,San-Francisco-CA-94127,97,30,127,6
95117,San-Jose,Santa-Clara,CA,San-Jose-CA-95117,112,18,130,6
94124,San-Francisco,San-Francisco,CA,San-Francisco-CA-94124,88,43,131,6
95030,Los-Gatos,Santa-Clara,CA,Los-Gatos-CA-95030,96,39,135,6
95110,San-Jose,Santa-Clara,CA,San-Jose-CA-95110,100,35,135,6
94306,Palo-Alto,Santa-Clara,CA,Palo-Alto-CA-94306,117,19,136,6
94121,San-Francisco,San-Francisco,CA,San-Francisco-CA-94121,96,45,141,6
94085,Sunnyvale,Santa-Clara,CA,Sunnyvale-CA-94085,103,40,143,6
95138,San-Jose,Santa-Clara,CA,San-Jose-CA-95138,120,26,146,6
94116,San-Francisco,San-Francisco,CA,San-Francisco-CA-94116,117,30,147,6
94542,Hayward,Alameda,CA,Hayward-CA-94542,107,42,149,6
94118,San-Francisco,San-Francisco,CA,San-Francisco-CA-94118,120,37,157,7
94618,Oakland,Alameda,CA,Oakland-CA-94618,129,30,159,7
94621,Oakland,Alameda,CA,Oakland-CA-94621,125,35,160,7
94040,Mountain-View,Santa-Clara,CA,Mountain-View-CA-94040,124,37,161,7
