RegionName,City,State,CountyName,name,SizeRank,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
85032,Phoenix,AZ,Maricopa,Phoenix-AZ-85032,56,255000,257900,259350,254450,249900,249900,255000,263700,269999,274900,274900,270000
85710,Tucson,AZ,Pima,Tucson-AZ-85710,97,169000,169000,174250,173950,175000,177000,180000,179900,175000,179900,183200,179900
85225,Chandler,AZ,Maricopa,Chandler-AZ-85225,110,260000,259000,257825,254999.5,258000,258000,259900,259900,262550,260000,268850,268925
85308,Glendale,AZ,Maricopa,Glendale-AZ-85308,118,289900,290000,285000,290000,289000,299500,299999,318900,322450,310000,309000,299900
85281,Tempe,AZ,Maricopa,Tempe-AZ-85281,125,259485,260450,268500,269500,269950,272000,275000,279999,287000,289000,284000,282125
85364,Yuma,AZ,Yuma,Yuma-AZ-85364,143,167900,162325,165000,165450,162400,155000,159900,162000,174700,180000,175000,179900
85705,Tucson,AZ,Pima,Tucson-AZ-85705,257,142500,149000,147037,143450,142250,145000,140000,149900,153700,155000,158250,155000
85251,Scottsdale,AZ,Maricopa,Scottsdale-AZ-85251,340,389900,405598.5,406598.5,399900,389900,395000,389000,395775,386450,389900,399900,398000
85282,Tempe,AZ,Maricopa,Tempe-AZ-85282,370,274900,270000,275000,280000,279900,281950,275000,285000,279950,279900,278569,279500
85022,Phoenix,AZ,Maricopa,Phoenix-AZ-85022,427,289900,294000,289940,289900,294381,300000,299900,282450,282000,285000,280000,280000
85204,Mesa,AZ,Maricopa,Mesa-AZ-85204,429,215000,215900,215900,214900,210000,214900,219450,225000,225000,223250,225000,233950
85301,Glendale,AZ,Maricopa,Glendale-AZ-85301,440,134900,140000,150000,148900,136450,138000,139900,139900,144999,160000,179000,165450
85142,Queen-Creek,AZ,Pinal,Queen-Creek-AZ-85142,445,318000,320000,321915,323385,325000,319750,324900,331622.5,339900,331295,324900,329500
